"","Subj","Order","CODE"
"1",1,1,"pear"
"2",1,2,"orange"
"3",1,3,"apple"
"4",2,1,"apple"
"5",2,2,"apple"
"6",2,3,"strawberry"
"7",3,1,"banana"
"8",3,2,"strawberry"
"9",4,1,"apple"
"10",4,2,"plum"
"11",4,3,"banana"
"12",4,4,"orange"
"13",4,5,"apple"
"14",5,1,"strawberry"
"15",5,2,"apple"
"16",5,3,"apple"
"17",6,1,"apple"
"18",6,2,"lemon"
"19",6,3,"apple"
"20",7,1,"banana"
"21",7,2,"plum"
"22",7,3,"lemon"
"23",7,4,"lemon"
"24",8,1,"strawberry"
"25",8,2,"apple"
"26",8,3,"pear"
"27",8,4,"apple"
"28",9,1,"apple"
"29",9,2,"apple"
"30",9,3,"plum"
"31",10,1,"apple"
"32",10,2,"pear"
"33",10,3,"apple"
"34",11,1,"apple"
"35",11,2,"strawberry"
"36",11,3,"banana"
"37",11,4,"apple"
"38",11,5,"lemon"
"39",12,1,"apple"
"40",12,2,"orange"
"41",12,3,"pear"
"42",12,4,"apple"
"43",12,5,"orange"
"44",13,1,"plum"
"45",13,2,"peach"
"46",13,3,"strawberry"
"47",13,4,"banana"
"48",14,1,"pear"
"49",14,2,"apple"
"50",14,3,"banana"
"51",14,4,"pear"
"52",14,5,"strawberry"
"53",15,1,"plum"
"54",15,2,"strawberry"
"55",15,3,"apple"
"56",16,1,"banana"
"57",16,2,"plum"
"58",16,3,"plum"
"59",16,4,"pear"
"60",16,5,"pear"
"61",17,1,"orange"
"62",17,2,"apple"
"63",18,1,"peach"
"64",18,2,"banana"
"65",18,3,"orange"
"66",18,4,"pear"
"67",18,5,"apple"
"68",19,1,"pear"
"69",19,2,"lemon"
"70",19,3,"strawberry"
"71",20,1,"plum"
"72",20,2,"apple"
"73",20,3,"plum"
"74",20,4,"orange"
"75",20,5,"apple"
